State / Union Teritory,1995,1997,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Andhra Pradesh,61.8,62.4,64.6,65,65.3,65.5,65.7,65.6,65.8,66.3,67,67.9,68.5,69.0,69.6,69.7,70.0,70.3
Assam,55.7,56.9,58.8,59.2,60,60.6,61,61.6,61.9,62.2,62.7,63.3,63.9,64.7,65.5,66.2,66.9,67.5
Bihar,59.3,59.4,64.1,64.2,64.4,64.4,64.4,65.1,65.8,66.3,67.2,67.7,68.1,68.4,68.7,68.9,69.1,69.2
Gujarat,61,61.9,65.6,65.7,65.8,66.1,66.4,66.4,66.8,67.3,67.7,68.2,68.7,69.1,69.5,69.7,69.9,70.2
Haryana,63.4,64.2,66.1,66.5,67,67.1,67.1,67.1,67,67.3,67.6,68.2,68.6,69.1,69.4,69.7,69.8,69.9
Karnataka,62.5,63.3,65.8,66.1,66.5,66.6,66.7,66.8,67.2,67.5,68,68.5,68.8,69.0,69.1,69.2,69.4,69.5
Kerala,72.9,73.2,73.2,73.6,73.9,74.1,74.3,74.3,74.2,74.4,74.7,74.8,74.9,75.2,75.1,75.2,75.3,75.2
Madhya Pradesh,54.7,55.4,59.3,59.7,60.2,60.7,61.4,61.9,62.4,62.8,63.3,63.8,64.2,64.8,65.4,66,66.5,67.0
Maharashtra,64.8,65.4,67.5,68,68.6,69.1,69.5,69.6,69.9,70.3,70.8,71.3,71.6,72.0,72.2,72.5,72.5,72.7
Odisha,56.5,57.1,60.4,60.8,61.2,61.7,62.1,62.5,63,63.7,64.3,64.9,65.8,66.9,67.6,68.4,69.3,69.8
Punjab,67.2,67.8,68.3,68.8,68.9,69.1,69.2,69.1,69.3,69.8,70.3,71.1,71.6,72.1,72.5,72.4,72.7,72.8
Rajasthan,59.1,59.6,64.1,64.5,64.9,65.2,65.8,66.2,66.5,66.8,67.2,67.5,67.7,67.9,68.3,68.5,68.7,69.0
Tamil Nadu,63.3,64.2,66.7,67.2,67.5,67.9,68.3,68.7,68.9,69.4,69.8,70.2,70.6,71.0,71.4,71.7,72.1,72.6
West Bengal,62.1,62.9,66.8,67.2,67.7,68.1,68.3,68.6,69,69.4,69.7,69.9,70.2,70.5,71.5,71,70.9,70.6
